RUN NO.,LAP,P1,P2,P3,P4,P5,P6,P7,P8
1,False,True,False,False,False,False,False,True,False,
2,False,True,True,False,False,False,False,True,False,
3,False,True,False,False,False,False,False,False,False,
4,False,True,False,False,True,False,False,False,False,
5,False,True,True,True,False,True,True,True,True,
6,False,True,False,False,False,False,False,True,False,
7,False,True,False,True,True,True,True,True,True,
8,False,True,True,True,True,True,True,True,True,
9,False,True,True,True,True,True,True,True,True,
10,False,True,True,False,False,True,True,True,False,
11,False,True,False,False,False,False,False,True,False,
12,False,True,False,False,True,True,False,True,True,
13,False,True,True,True,True,True,True,True,True,
14,False,True,True,True,False,True,False,True,True,
15,False,True,False,False,True,True,False,False,False,
16,False,True,True,False,True,True,True,True,True,
17,False,True,False,True,False,False,False,True,False,
18,False,True,False,False,False,False,False,False,False,
19,False,True,False,False,False,False,False,False,False,
20,False,True,True,True,True,True,True,True,True,
21,False,True,True,True,True,True,True,True,True,
22,False,True,True,True,True,True,True,True,True,
23,False,True,True,False,False,False,False,True,True,
24,False,True,False,False,False,False,False,False,False,
25,False,True,False,True,False,True,False,True,True,
